dataset,label,nmse,corrcoeff,n,alpha,spectral_radius,input_scale,sparsity,hidden_dim,epochs,learning_rate,dropout_rate,seed,show_progress
Double-scroll,ESN,0.0003701359910045682,[0.99946848 0.99880016 0.99995705],40.0,0.7,0.8,0.1,0.0,,,,,,
Double-scroll,ESN,0.0004006010480175676,[0.99942593 0.99872829 0.99995948],40.0,0.7,0.8,0.1,0.05,,,,,,
Double-scroll,ESN,0.0004403323642215765,[0.99936351 0.99869938 0.99995507],40.0,0.7,0.8,0.1,0.1,,,,,,
Double-scroll,ESN,0.0006090721356720801,[0.99906536 0.99830555 0.99992621],40.0,0.7,0.8,0.1,0.15,,,,,,
Double-scroll,ESN,0.0005826702670931564,[0.99913531 0.99836964 0.99992109],40.0,0.7,0.8,0.1,0.2,,,,,,
Double-scroll,ESN,0.00017012174974323824,[0.99990131 0.9994541  0.99983858],40.0,0.7,0.8,0.5,0.0,,,,,,
Double-scroll,ESN,0.00018034226790962735,[0.99988196 0.99955355 0.99981397],40.0,0.7,0.8,0.5,0.05,,,,,,
Double-scroll,ESN,0.0002657624846684377,[0.99986635 0.99912685 0.99973076],40.0,0.7,0.8,0.5,0.1,,,,,,
Double-scroll,ESN,0.0002192056709105753,[0.99987736 0.99917064 0.99981288],40.0,0.7,0.8,0.5,0.15,,,,,,
Double-scroll,ESN,0.00021792479678273965,[0.99990272 0.99904231 0.99981806],40.0,0.7,0.8,0.5,0.2,,,,,,
Double-scroll,ESN,0.0007796310877472279,[0.99962115 0.99729544 0.99924147],40.0,0.7,0.8,1.0,0.0,,,,,,
Double-scroll,ESN,0.0007568504748036831,[0.99962888 0.99778912 0.99919021],40.0,0.7,0.8,1.0,0.05,,,,,,
Double-scroll,ESN,0.0006392084207986219,[0.99965106 0.99789534 0.99938801],40.0,0.7,0.8,1.0,0.1,,,,,,
Double-scroll,ESN,0.0007466269314421969,[0.99965386 0.99788002 0.99916454],40.0,0.7,0.8,1.0,0.15,,,,,,
Double-scroll,ESN,0.0008632383039166834,[0.99963067 0.99758748 0.99900976],40.0,0.7,0.8,1.0,0.2,,,,,,
Double-scroll,ESN,0.0016938840822839825,[0.99928082 0.99623403 0.99790369],40.0,0.7,0.8,1.5,0.0,,,,,,
Double-scroll,ESN,0.002322339492998336,[0.99905556 0.99463873 0.99700255],40.0,0.7,0.8,1.5,0.05,,,,,,
Double-scroll,ESN,0.0021958221982414324,[0.99908448 0.99464275 0.9972522 ],40.0,0.7,0.8,1.5,0.1,,,,,,
Double-scroll,ESN,0.0026137144601740547,[0.99910086 0.99467173 0.99638411],40.0,0.7,0.8,1.5,0.15,,,,,,
Double-scroll,ESN,0.0022899599093090194,[0.99922737 0.99567845 0.99679208],40.0,0.7,0.8,1.5,0.2,,,,,,
Double-scroll,ESN,0.004639504044379658,[0.99833527 0.99156583 0.99341611],40.0,0.7,0.8,2.0,0.0,,,,,,
Double-scroll,ESN,0.005362177357594117,[0.99822094 0.99058232 0.9920501 ],40.0,0.7,0.8,2.0,0.05,,,,,,
Double-scroll,ESN,0.005730704023039162,[0.99804662 0.98920873 0.99171805],40.0,0.7,0.8,2.0,0.1,,,,,,
Double-scroll,ESN,0.005512871076190183,[0.9983338  0.99038461 0.99172499],40.0,0.7,0.8,2.0,0.15,,,,,,
Double-scroll,ESN,0.004530760346615981,[0.99871826 0.99310439 0.99295659],40.0,0.7,0.8,2.0,0.2,,,,,,
Double-scroll,ESN,0.007858856650532335,[0.99736331 0.9864301  0.98834311],40.0,0.7,0.8,2.5,0.0,,,,,,
Double-scroll,ESN,0.008265121587976543,[0.99733171 0.98638191 0.98750703],40.0,0.7,0.8,2.5,0.05,,,,,,
