taskType,label,accuracy,corrcoeff,n,alpha,spectral_radius,input_scale,sparsity,hidden_dim,epochs,learning_rate,dropout_rate,seed,show_progress
XOR,ESN,0.1,0.19017104638245594,3.0,0.7,0.8,0.1,0.0,,,,,,
XOR,ESN,0.36666666666666664,0.030754803772337233,3.0,0.7,0.8,0.1,0.05,,,,,,
XOR,ESN,0.6666666666666666,0.01414620854412553,3.0,0.7,0.8,0.1,0.1,,,,,,
XOR,ESN,0.43333333333333335,0.01985783446364113,3.0,0.7,0.8,0.1,0.15,,,,,,
XOR,ESN,0.5,0.00355823615889517,3.0,0.7,0.8,0.1,0.2,,,,,,
XOR,ESN,0.6666666666666666,0.1416714638998064,3.0,0.7,0.8,0.5,0.0,,,,,,
XOR,ESN,0.5333333333333333,0.024439604867989653,3.0,0.7,0.8,0.5,0.05,,,,,,
XOR,ESN,0.5333333333333333,0.025907688641355335,3.0,0.7,0.8,0.5,0.1,,,,,,
XOR,ESN,0.5666666666666667,0.12133972215801217,3.0,0.7,0.8,0.5,0.15,,,,,,
XOR,ESN,0.6,0.028362952442813068,3.0,0.7,0.8,0.5,0.2,,,,,,
XOR,ESN,0.7333333333333333,0.29086583882252054,3.0,0.7,0.8,1.0,0.0,,,,,,
XOR,ESN,0.6666666666666666,0.27082031556687897,3.0,0.7,0.8,1.0,0.05,,,,,,
XOR,ESN,0.7333333333333333,0.44595024007640555,3.0,0.7,0.8,1.0,0.1,,,,,,
XOR,ESN,0.7333333333333333,0.43594392804977955,3.0,0.7,0.8,1.0,0.15,,,,,,
XOR,ESN,0.8333333333333334,0.3690940859362005,3.0,0.7,0.8,1.0,0.2,,,,,,
XOR,ESN,0.7333333333333333,0.32843615553684696,3.0,0.7,0.8,1.5,0.0,,,,,,
XOR,ESN,0.7666666666666667,0.4165247731033582,3.0,0.7,0.8,1.5,0.05,,,,,,
XOR,ESN,0.8666666666666667,0.4897553255557315,3.0,0.7,0.8,1.5,0.1,,,,,,
XOR,ESN,0.8666666666666667,0.5873638821185583,3.0,0.7,0.8,1.5,0.15,,,,,,
XOR,ESN,0.8666666666666667,0.6583335556445126,3.0,0.7,0.8,1.5,0.2,,,,,,
XOR,ESN,0.7333333333333333,0.2619092676087282,3.0,0.7,0.8,2.0,0.0,,,,,,
XOR,ESN,0.7333333333333333,0.2852929203948778,3.0,0.7,0.8,2.0,0.05,,,,,,
XOR,ESN,0.7333333333333333,0.2469616564206303,3.0,0.7,0.8,2.0,0.1,,,,,,
XOR,ESN,0.9333333333333333,0.6665425818996163,3.0,0.7,0.8,2.0,0.15,,,,,,
XOR,ESN,0.8,0.6861299622284541,3.0,0.7,0.8,2.0,0.2,,,,,,
XOR,ESN,0.7,0.2840323676353622,3.0,0.7,0.8,2.5,0.0,,,,,,
XOR,ESN,0.9,0.3439909640756177,3.0,0.7,0.8,2.5,0.05,,,,,,
XOR,ESN,0.5333333333333333,0.11094685386191988,3.0,0.7,0.8,2.5,0.1,,,,,,
XOR,ESN,0.8666666666666667,0.5745635435887192,3.0,0.7,0.8,2.5,0.15,,,,,,
XOR,ESN,0.8333333333333334,0.7394228500236533,3.0,0.7,0.8,2.5,0.2,,,,,,
XOR,ESN,0.7,0.3589703107266771,3.0,0.7,0.8,3.0,0.0,,,,,,
XOR,ESN,0.6333333333333333,0.20635198334952937,3.0,0.7,0.8,3.0,0.05,,,,,,
XOR,ESN,0.7333333333333333,0.4780190049920799,3.0,0.7,0.8,3.0,0.1,,,,,,
XOR,ESN,0.9333333333333333,0.6729668099821794,3.0,0.7,0.8,3.0,0.15,,,,,,
XOR,ESN,1.0,0.7504713910504278,3.0,0.7,0.8,3.0,0.2,,,,,,
XOR,ESN,0.5666666666666667,0.22231997094370923,3.0,0.7,0.8,3.5,0.0,,,,,,
XOR,ESN,0.8666666666666667,0.48628936885311647,3.0,0.7,0.8,3.5,0.05,,,,,,
XOR,ESN,0.7,0.42562146418028846,3.0,0.7,0.8,3.5,0.1,,,,,,
XOR,ESN,0.9,0.5896459727859125,3.0,0.7,0.8,3.5,0.15,,,,,,
XOR,ESN,1.0,0.7695909070904536,3.0,0.7,0.8,3.5,0.2,,,,,,
XOR,ESN,0.6666666666666666,0.46935129628048244,3.0,0.7,0.8,4.0,0.0,,,,,,
XOR,ESN,0.8,0.3669335827605788,3.0,0.7,0.8,4.0,0.05,,,,,,
XOR,ESN,0.7333333333333333,0.5010314326546995,3.0,0.7,0.8,4.0,0.1,,,,,,
XOR,ESN,0.9666666666666667,0.6554243985088248,3.0,0.7,0.8,4.0,0.15,,,,,,
XOR,ESN,1.0,0.7723266553243726,3.0,0.7,0.8,4.0,0.2,,,,,,
XOR,ESN,0.8666666666666667,0.43275936855234765,3.0,0.7,0.8,4.5,0.0,,,,,,
XOR,ESN,0.7333333333333333,0.46951105453442676,3.0,0.7,0.8,4.5,0.05,,,,,,
XOR,ESN,0.8666666666666667,0.44421231162115615,3.0,0.7,0.8,4.5,0.1,,,,,,
XOR,ESN,0.9333333333333333,0.6325353855016576,3.0,0.7,0.8,4.5,0.15,,,,,,
