noise,training_size,accuracy
0.058,10,0.9666666666666667
0.058,10,0.9666666666666667
0.058,10,0.9
0.058,10,1.0
0.058,10,0.9666666666666667
0.058,10,0.9666666666666667
0.058,10,0.9666666666666667
0.058,10,0.8333333333333334
0.058,10,1.0
0.058,10,1.0
0.058,10,0.9666666666666667
0.058,10,1.0
0.058,10,1.0
0.058,10,0.9666666666666667
0.058,10,0.9666666666666667
0.058,10,1.0
0.058,10,0.9666666666666667
0.058,10,0.9666666666666667
0.058,10,0.9333333333333333
0.058,10,0.9333333333333333
0.058,10,0.7
0.058,10,0.9666666666666667
0.058,10,0.9666666666666667
0.058,10,0.9
0.058,10,0.9
0.058,10,0.9333333333333333
0.058,10,0.9666666666666667
0.058,10,1.0
0.058,10,0.9666666666666667
0.058,10,1.0
0.058,10,1.0
0.058,10,1.0
0.058,10,0.9333333333333333
0.058,10,0.9666666666666667
0.058,10,0.9666666666666667
0.058,10,0.9666666666666667
0.058,10,1.0
0.058,10,1.0
0.058,10,0.9666666666666667
0.058,10,1.0
0.058,10,0.8666666666666667
0.058,10,0.9666666666666667
0.058,10,0.8666666666666667
0.058,10,1.0
0.058,10,0.9666666666666667
0.058,10,0.9333333333333333
0.058,10,1.0
0.058,10,0.6666666666666666
0.058,10,1.0
0.058,10,0.9666666666666667
0.058,10,0.9666666666666667
0.058,10,0.9666666666666667
0.058,10,0.9333333333333333
0.058,10,1.0
0.058,10,0.9666666666666667
0.058,10,1.0
0.058,10,0.9666666666666667
0.058,10,0.9333333333333333
0.058,10,1.0
0.058,10,0.9
0.058,10,1.0
0.058,10,0.9333333333333333
0.058,10,0.7333333333333333
0.058,10,0.9666666666666667
0.058,10,0.9666666666666667
0.058,10,0.9333333333333333
0.058,10,0.9666666666666667
0.058,10,0.9666666666666667
0.058,10,0.9
0.058,10,0.8666666666666667
0.058,10,0.9666666666666667
0.058,10,0.9666666666666667
0.058,10,1.0
0.058,10,0.9666666666666667
0.058,10,1.0
0.058,10,0.8666666666666667
0.058,10,1.0
0.058,10,0.9666666666666667
0.058,10,0.9333333333333333
0.058,10,0.8
0.058,10,1.0
0.058,10,0.9
0.058,10,0.9666666666666667
0.058,10,0.9666666666666667
0.058,10,0.9666666666666667
0.058,10,1.0
0.058,10,0.9666666666666667
0.058,10,0.9333333333333333
0.058,10,0.8333333333333334
0.058,10,0.9666666666666667
0.058,10,0.9
0.058,10,1.0
0.058,10,0.8666666666666667
0.058,10,0.9333333333333333
0.058,10,1.0
0.058,10,0.9333333333333333
0.058,10,0.9666666666666667
0.058,10,1.0
0.058,10,1.0
0.058,10,1.0
0.058,20,0.9666666666666667
0.058,20,0.9333333333333333
0.058,20,0.9666666666666667
0.058,20,0.9333333333333333
0.058,20,0.9333333333333333
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,1.0
0.058,20,0.9
0.058,20,0.9666666666666667
0.058,20,0.9666666666666667
0.058,20,0.9333333333333333
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,0.9
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,0.9333333333333333
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,0.9333333333333333
0.058,20,0.9666666666666667
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,1.0
0.058,20,1.0
0.058,20,1.0
0.058,20,1.0
0.058,20,0.9
0.058,20,1.0
0.058,20,1.0
0.058,20,1.0
0.058,20,0.7666666666666667
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,1.0
0.058,20,0.9333333333333333
0.058,20,1.0
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,0.9666666666666667
0.058,20,0.9333333333333333
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,0.9333333333333333
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,0.9666666666666667
0.058,20,0.9333333333333333
0.058,20,1.0
0.058,20,0.9333333333333333
0.058,20,0.9333333333333333
0.058,20,0.9666666666666667
0.058,20,0.9666666666666667
0.058,20,0.9
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,0.9333333333333333
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,0.9666666666666667
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,0.9666666666666667
0.058,20,0.9333333333333333
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,0.9333333333333333
0.058,20,1.0
0.058,20,0.9666666666666667
0.058,20,0.9666666666666667
0.058,20,1.0
0.058,20,0.9333333333333333
0.058,20,1.0
0.058,20,1.0
0.058,30,1.0
0.058,30,1.0
0.058,30,0.9
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,0.9333333333333333
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,1.0
0.058,30,0.9333333333333333
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,0.9
0.058,30,1.0
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,0.9
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,0.9333333333333333
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,1.0
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,0.9
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,0.9
0.058,30,1.0
0.058,30,1.0
0.058,30,1.0
0.058,30,1.0
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,0.9333333333333333
0.058,30,1.0
0.058,30,0.9
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,0.9333333333333333
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,1.0
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,1.0
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,0.9333333333333333
0.058,30,0.9666666666666667
0.058,30,0.9333333333333333
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,0.9666666666666667
0.058,30,1.0
0.058,30,1.0
0.058,30,1.0
0.058,40,1.0
0.058,40,1.0
0.058,40,1.0
0.058,40,1.0
0.058,40,1.0
0.058,40,0.9666666666666667
0.058,40,0.9666666666666667
0.058,40,1.0
0.058,40,0.9666666666666667
0.058,40,1.0
0.058,40,0.9666666666666667
0.058,40,0.9666666666666667
0.058,40,0.9666666666666667
0.058,40,1.0
0.058,40,0.9666666666666667
0.058,40,0.9666666666666667
0.058,40,0.9333333333333333
0.058,40,0.8666666666666667
0.058,40,0.9666666666666667
0.058,40,0.9666666666666667
0.058,40,0.9666666666666667
0.058,40,1.0
0.058,40,1.0
0.058,40,1.0
0.058,40,0.9666666666666667
0.058,40,1.0
0.058,40,1.0
0.058,40,1.0
0.058,40,0.9666666666666667
0.058,40,0.9
0.058,40,1.0
0.058,40,0.9666666666666667
0.058,40,0.9666666666666667
0.058,40,0.9666666666666667
0.058,40,1.0
0.058,40,1.0
0.058,40,0.9666666666666667
0.058,40,0.9666666666666667
0.058,40,0.9666666666666667
0.058,40,1.0
0.058,40,0.9333333333333333
0.058,40,1.0
0.058,40,0.9666666666666667
0.058,40,0.9666666666666667
0.058,40,0.9666666666666667
0.058,40,1.0
0.058,40,0.9666666666666667
0.058,40,1.0
0.058,40,1.0
0.058,40,1.0
0.058,40,1.0
0.058,40,0.9666666666666667
0.058,40,0.9333333333333333
0.058,40,1.0
0.058,40,1.0
0.058,40,1.0
0.058,40,0.9666666666666667
0.058,40,0.9
0.058,40,0.9666666666666667
0.058,40,1.0
0.058,40,0.9666666666666667
0.058,40,1.0
0.058,40,0.9666666666666667
0.058,40,1.0
