N,n,trial,tau,accuracy,corrcoeff
1,4,0,0,1.0,0.9999999573590861
1,4,0,1,1.0,0.9989822848283253
1,4,0,2,0.4,0.0006299195164492905
1,4,0,3,0.44,0.019380243467579376
1,4,0,4,0.48,0.00573888968382921
1,4,0,5,0.54,0.002594559051561107
1,4,1,0,1.0,0.9999999992695807
1,4,1,1,1.0,0.9916634514353047
1,4,1,2,0.66,0.13647908093901492
1,4,1,3,0.54,0.031197209717318358
1,4,1,4,0.34,0.057207328034659
1,4,1,5,0.6,0.00996324067439295
1,4,2,0,1.0,0.9999999996588438
1,4,2,1,0.52,0.010018270228395236
1,4,2,2,0.82,0.39120994513773666
1,4,2,3,0.5,0.0017727851783112653
1,4,2,4,0.56,0.02042371673177517
1,4,2,5,0.48,0.04648789754800449
1,4,3,0,1.0,0.9999999658977864
1,4,3,1,1.0,0.997538734156506
1,4,3,2,0.48,0.002756024990695081
1,4,3,3,0.54,0.002054345362066658
1,4,3,4,0.48,0.009400452952695603
1,4,3,5,0.46,0.001580429344986809
1,4,4,0,1.0,0.9999999850424107
1,4,4,1,1.0,0.8953735047534552
1,4,4,2,0.54,0.011232150224003805
1,4,4,3,0.5,0.0027524344654335734
1,4,4,4,0.52,0.013379419436111425
1,4,4,5,0.6,0.03871715828333372
1,4,5,0,1.0,0.9999999877747243
1,4,5,1,1.0,0.9581008169485731
1,4,5,2,0.5,0.0002903397042700582
1,4,5,3,0.44,0.01827613721759587
1,4,5,4,0.56,0.053804146611194904
1,4,5,5,0.5,0.0019455023179953746
1,4,6,0,1.0,0.9999999944359794
1,4,6,1,1.0,0.7999650101738326
1,4,6,2,0.6,0.06005090611254963
1,4,6,3,0.52,0.00017096382171190568
1,4,6,4,0.7,0.041130298387830326
1,4,6,5,0.48,0.0007010815597277113
1,4,7,0,1.0,0.9999999930507792
1,4,7,1,1.0,0.8519639280676035
1,4,7,2,0.52,0.0001665556466938028
1,4,7,3,0.7,0.06874801697338086
1,4,7,4,0.46,0.006512521878144331
1,4,7,5,0.52,0.04695420892704158
1,4,8,0,1.0,0.9999999694669541
1,4,8,1,1.0,0.9704449442863284
1,4,8,2,0.54,0.007399424281923656
1,4,8,3,0.52,0.0051058289928178425
1,4,8,4,0.5,0.004196544069810841
1,4,8,5,0.56,0.05412335534970009
1,4,9,0,1.0,0.9999999966882003
1,4,9,1,0.66,0.18530243601063168
1,4,9,2,0.5,8.28288596957257e-06
1,4,9,3,0.58,0.0014260644788994144
1,4,9,4,0.46,0.0012899397884063165
1,4,9,5,0.54,0.017034610377922834
1,6,0,0,1.0,0.9999999221899827
1,6,0,1,1.0,0.9987998230966205
1,6,0,2,0.52,1.6848671546460276e-06
1,6,0,3,0.48,0.01546081614517299
1,6,0,4,0.6,0.013103586928596122
1,6,0,5,0.44,0.027076500697041685
1,6,1,0,1.0,0.999999978465388
1,6,1,1,1.0,0.9966997696298006
1,6,1,2,0.56,0.026376513011485095
1,6,1,3,0.54,0.004338835999014822
1,6,1,4,0.5,0.00896968436602851
1,6,1,5,0.52,0.005790644896895679
1,6,2,0,1.0,0.9999999998515581
1,6,2,1,0.76,0.297282013376299
1,6,2,2,0.7,0.21460610176231645
1,6,2,3,0.48,0.0017283911143075887
1,6,2,4,0.6,0.03656920441450425
1,6,2,5,0.3,0.14490341748916347
1,6,3,0,1.0,0.9999999986693018
1,6,3,1,1.0,0.9961857823239251
1,6,3,2,0.6,0.08952688589134979
1,6,3,3,0.54,0.05030823174147872
1,6,3,4,0.48,0.010388122407557852
1,6,3,5,0.5,0.016557683025079487
1,6,4,0,1.0,0.9999999923829133
1,6,4,1,1.0,0.9257089544331598
1,6,4,2,0.74,0.1656649851510364
1,6,4,3,0.62,0.03529748979432839
1,6,4,4,0.56,0.020005659279992944
1,6,4,5,0.68,0.07213721992915213
1,6,5,0,1.0,0.9999999913741873
1,6,5,1,1.0,0.9762060383455222
1,6,5,2,0.6,0.0600045340631154
1,6,5,3,0.6,0.043137466245042715
1,6,5,4,0.44,1.6262800054150334e-06
1,6,5,5,0.6,0.04314883965109353
1,6,6,0,1.0,0.9999999887138056
1,6,6,1,1.0,0.8814250083308134
1,6,6,2,0.48,0.005558322264193673
1,6,6,3,0.46,0.006522087388788703
1,6,6,4,0.48,0.011343954725517694
1,6,6,5,0.52,0.006463271729828703
1,6,7,0,1.0,0.9999999994346815
1,6,7,1,1.0,0.9216130963023295
1,6,7,2,0.56,0.007826182189353229
1,6,7,3,0.56,0.10630959145613988
1,6,7,4,0.4,0.10850004947860639
1,6,7,5,0.4,0.01853747798761318
1,6,8,0,1.0,0.999999886860046
1,6,8,1,1.0,0.9737988154414857
1,6,8,2,0.6,0.10053968485261205
1,6,8,3,0.52,0.021211197607398886
1,6,8,4,0.54,0.010293575289544672
1,6,8,5,0.64,0.06913540590377429
1,6,9,0,1.0,0.9999999999670579
1,6,9,1,0.88,0.531595972386638
1,6,9,2,0.64,0.13336559527375383
1,6,9,3,0.6,0.027735155906209643
1,6,9,4,0.5,0.0009439499165692643
1,6,9,5,0.44,0.021675973315827553
5,4,0,0,1.0,0.9999999999951701
5,4,0,1,1.0,0.9999891333072671
5,4,0,2,1.0,0.9945789255868918
5,4,0,3,0.76,0.37318351920677467
5,4,0,4,0.48,0.011664558484369677
5,4,0,5,0.44,8.82304552163862e-05
5,4,1,0,1.0,0.9999999999779987
5,4,1,1,1.0,0.9999980698773933
5,4,1,2,1.0,0.9998906521479645
5,4,1,3,0.78,0.42670657513682536
5,4,1,4,0.48,0.00421742672242415
5,4,1,5,0.48,0.013582446149040275
5,4,2,0,1.0,0.9999999937800168
5,4,2,1,1.0,0.9998017087391912
5,4,2,2,1.0,0.9903954434627449
5,4,2,3,0.78,0.5166108263507352
5,4,2,4,0.56,0.015514998757718378
5,4,2,5,0.48,0.00044704562242062895
5,4,3,0,1.0,0.9999999963998325
5,4,3,1,1.0,0.9984189976108743
5,4,3,2,1.0,0.9465771513245502
5,4,3,3,0.82,0.43335963134342076
5,4,3,4,0.38,0.0248876842217006
5,4,3,5,0.42,0.025448359454317032
5,4,4,0,1.0,0.9999999009740008
5,4,4,1,1.0,0.998907038211811
5,4,4,2,1.0,0.9476986527817141
5,4,4,3,0.82,0.5563394846561605
5,4,4,4,0.68,0.05409348097050998
5,4,4,5,0.56,0.04238722302407123
5,4,5,0,1.0,0.9999999999616127
5,4,5,1,1.0,0.999998867874011
5,4,5,2,1.0,0.9988268822037116
5,4,5,3,0.92,0.7183998311177832
5,4,5,4,0.5,0.0016352109052466576
5,4,5,5,0.5,0.0017318722037244789
5,4,6,0,1.0,0.9999999999726088
5,4,6,1,1.0,0.9999950509216118
5,4,6,2,1.0,0.9977201134299615
5,4,6,3,0.96,0.7662430128645501
5,4,6,4,0.36,0.10238503862850327
5,4,6,5,0.6,0.0025651574517244645
5,4,7,0,1.0,0.9999999988823387
5,4,7,1,1.0,0.9999605829506887
5,4,7,2,1.0,0.9984227032421714
5,4,7,3,0.48,0.0003722196278354437
5,4,7,4,0.54,0.02243795719538708
5,4,7,5,0.52,0.007308542861117252
5,4,8,0,1.0,0.9999999839265948
5,4,8,1,1.0,0.9997579207534808
5,4,8,2,1.0,0.961786357054551
5,4,8,3,0.82,0.37079634451144705
5,4,8,4,0.54,0.03534563359809537
5,4,8,5,0.56,0.0014822316711602325
5,4,9,0,1.0,0.9999999987421253
5,4,9,1,1.0,0.9999805714065206
5,4,9,2,1.0,0.9428662530369786
5,4,9,3,0.44,3.593116952267505e-05
5,4,9,4,0.36,0.034570409501471666
5,4,9,5,0.38,0.03367552052390929
5,6,0,0,1.0,1.0
5,6,0,1,1.0,0.9999999988907027
5,6,0,2,1.0,0.9999706386367093
5,6,0,3,1.0,0.9512333395472817
5,6,0,4,0.58,0.014016522647691093
5,6,0,5,0.54,0.01488535090496426
5,6,1,0,1.0,1.0
5,6,1,1,1.0,0.9999999995349163
5,6,1,2,1.0,0.9999831419091774
5,6,1,3,1.0,0.9873715301039093
5,6,1,4,0.68,0.13407045448168078
5,6,1,5,0.52,0.0027536779228989018
5,6,2,0,1.0,0.9999999999994296
5,6,2,1,1.0,0.9999996617430424
5,6,2,2,1.0,0.9999777432607152
5,6,2,3,1.0,0.9652986832830934
5,6,2,4,0.94,0.8033158587044843
5,6,2,5,0.52,5.871485912496308e-05
5,6,3,0,1.0,0.9999999999999352
5,6,3,1,1.0,0.9999998754059348
5,6,3,2,1.0,0.9995251655180365
5,6,3,3,1.0,0.9741111150228616
5,6,3,4,0.82,0.3079768326726029
