R,tau,capacity
5,0,0.9999257328031542
5,0,0.9999557833506214
5,0,0.9999155046750934
5,0,0.9999215675200597
5,0,0.9998139682467763
5,0,0.9999222129536005
5,0,0.9998850526353658
5,0,0.9999654817059243
5,0,0.9999596979652673
5,0,0.9999269827873153
5,0,0.9999258332391165
5,0,0.9998164517072663
5,0,0.9998938524647186
5,0,0.9999139832315841
5,0,0.9998945018385411
5,0,0.9999345884417392
5,0,0.9999198822879373
5,0,0.9999470985131869
5,0,0.9999229906328648
5,0,0.9999421459294106
5,0,0.9999644582558814
5,0,0.9999043374354428
5,0,0.9999561257334078
5,0,0.9999038398765979
5,0,0.9999521838893533
5,1,0.9841240642967849
5,1,0.9949909272511114
5,1,0.9913969731912913
5,1,0.9948913786112594
5,1,0.991668270452825
5,1,0.9934994792921096
5,1,0.9948273572811446
5,1,0.9955718524041729
5,1,0.9942393577384449
5,1,0.98806139110105
5,1,0.9938505397818049
5,1,0.9794682690521734
5,1,0.9945240105133797
5,1,0.9958609857722385
5,1,0.9934575218068077
5,1,0.9905768952731616
5,1,0.9912368161279984
5,1,0.9957999655658003
5,1,0.9946527461793724
5,1,0.9980117276949154
5,1,0.9928190079636342
5,1,0.9945924255727969
5,1,0.9962738807647153
5,1,0.9962116664583246
5,1,0.9967577835412519
5,2,0.8938202624295465
5,2,0.9618935537922183
5,2,0.9535864450420589
5,2,0.9317826453866769
5,2,0.9695381888813536
5,2,0.9678562962226747
5,2,0.9693077210538732
5,2,0.9622833065229237
5,2,0.9591996398995432
5,2,0.9348653943655297
5,2,0.9432621041032373
5,2,0.9285813456345606
5,2,0.9636205772781011
5,2,0.9685181677781679
5,2,0.9767026472463947
5,2,0.9512924176566845
5,2,0.9431383369151278
5,2,0.9128162511202788
5,2,0.9560304953040261
5,2,0.9496444730926895
5,2,0.9632149638002657
5,2,0.9537116321035958
5,2,0.9626362711197137
5,2,0.9727936426410337
5,2,0.9418610799255006
5,3,0.35794326540295573
5,3,0.6463410887199
5,3,0.7532651585571918
5,3,0.23216818736311814
5,3,0.23431059586224917
5,3,0.6409662496865705
5,3,0.5807905138388666
5,3,0.6470236110552889
5,3,0.779082278022823
5,3,0.43805430962015834
5,3,0.5651929846245831
5,3,0.6530398610316702
5,3,0.7200250968999893
5,3,0.7992027990432332
5,3,0.6309045274294506
5,3,0.5740271330755049
5,3,0.5853936587425548
5,3,0.7415644729618214
5,3,0.335290208221897
5,3,0.6753628560291618
5,3,0.6571426274558837
5,3,0.657215622014552
5,3,0.6091002944429295
5,3,0.6784950416311024
5,3,0.6244564533425351
