R,tau,capacity,hidden_neurons
1,0,0.9999899471801856,15
1,0,0.9999901940135583,15
1,0,0.9999897822353069,15
1,0,0.9999949927596687,15
1,0,0.9998195779043996,15
1,0,0.9999866519385907,15
1,0,0.9999584079389332,15
1,0,0.9999950033220879,15
1,0,0.9999874882594612,15
1,0,0.9993920925898214,15
1,0,0.9999939737347312,15
1,0,0.9999949032033835,15
1,0,0.9999850685547571,15
1,0,0.9996766638779808,15
1,0,0.9999809729320995,15
1,0,0.9999685599625993,15
1,0,0.9999968574360458,15
1,0,0.9999667686465742,15
1,0,0.9999884569401082,15
1,0,0.9999880823934373,15
1,0,0.9998696936192824,15
1,0,0.9999771819467954,15
1,0,0.9999901995681865,15
1,0,0.9999928466863425,15
1,0,0.9999950332636173,15
1,1,0.9998790684656538,15
1,1,0.9999596099903052,15
1,1,0.999942597042,15
1,1,0.9999013452859793,15
1,1,0.9994829558584452,15
1,1,0.9997897398497735,15
1,1,0.999848641903869,15
1,1,0.9999746283155899,15
1,1,0.999958643160454,15
1,1,0.9991623091847773,15
1,1,0.9999112882264864,15
1,1,0.9999508387343276,15
1,1,0.999953547447012,15
1,1,0.9995018864025645,15
1,1,0.9999518225689351,15
1,1,0.9998644194811106,15
1,1,0.9999331783385571,15
1,1,0.9998453342391784,15
1,1,0.9999596914259685,15
1,1,0.9999292827252619,15
1,1,0.9995497354758377,15
1,1,0.9998434935884102,15
1,1,0.9998928734861139,15
1,1,0.9999390890285238,15
1,1,0.9999130709867927,15
1,2,0.9997839420888316,15
1,2,0.9996221885073835,15
1,2,0.999916697888954,15
1,2,0.999570876895115,15
1,2,0.9981062256540203,15
1,2,0.9994732730486249,15
1,2,0.9995198981357273,15
1,2,0.9989246164927565,15
1,2,0.9999081227695867,15
1,2,0.9952104834896921,15
1,2,0.9994141999179234,15
1,2,0.9998367208804919,15
1,2,0.9998917392238645,15
1,2,0.9988144478983118,15
1,2,0.9998798500260389,15
1,2,0.9996021040745777,15
1,2,0.9998186022410419,15
1,2,0.9998523954328368,15
1,2,0.9998646894960312,15
1,2,0.9997243927925052,15
1,2,0.9992327289213644,15
1,2,0.9994704456951761,15
1,2,0.9997433602995257,15
1,2,0.9998694101234977,15
1,2,0.9998181449367172,15
1,3,0.9950170749924127,15
1,3,0.9974555744442236,15
1,3,0.9995976004109033,15
1,3,0.9970230669319087,15
1,3,0.9969440995573071,15
1,3,0.9978082421737894,15
1,3,0.9976917209938934,15
1,3,0.9895734260648941,15
1,3,0.9991273544055705,15
1,3,0.9775994380428188,15
1,3,0.9982110151478606,15
1,3,0.9997675128776871,15
1,3,0.995087446439606,15
1,3,0.9973414511970168,15
1,3,0.9997246089453249,15
1,3,0.9985320768979132,15
1,3,0.9978924595179235,15
1,3,0.9989211749003767,15
1,3,0.9989521239964101,15
1,3,0.9993825862683335,15
1,3,0.9936910645723741,15
1,3,0.9985450482427973,15
1,3,0.9993159909809297,15
1,3,0.9992621868811936,15
1,3,0.9992948585356738,15
