label,trial,nmse,num_modes,dimension,dataset
General Encoding,0,0.008781295345792186,4,10,Double-scroll
General Encoding,1,0.02114817170282447,4,10,Double-scroll
General Encoding,2,0.005708296606485203,4,10,Double-scroll
General Encoding,3,0.011460004151790087,4,10,Double-scroll
General Encoding,4,0.007422308651473864,4,10,Double-scroll
General Encoding,5,0.02527274930677991,4,10,Double-scroll
General Encoding,6,0.006080586809647031,4,10,Double-scroll
General Encoding,7,0.07119759728549033,4,10,Double-scroll
General Encoding,8,0.004406815339348822,4,10,Double-scroll
General Encoding,9,0.08526273285326046,4,10,Double-scroll
General Encoding,10,0.0552510460099219,4,10,Double-scroll
General Encoding,11,0.008712576606004451,4,10,Double-scroll
General Encoding,12,0.011063877259519574,4,10,Double-scroll
General Encoding,13,0.07359937795277632,4,10,Double-scroll
General Encoding,14,0.01417886383712327,4,10,Double-scroll
General Encoding,15,0.01954201410399804,4,10,Double-scroll
General Encoding,16,0.007237111843325694,4,10,Double-scroll
General Encoding,17,0.013874277027442688,4,10,Double-scroll
General Encoding,18,0.012571356075592252,4,10,Double-scroll
General Encoding,19,0.00887486795164106,4,10,Double-scroll
General Encoding,20,0.007743893795871293,4,10,Double-scroll
General Encoding,21,0.028482551731099412,4,10,Double-scroll
General Encoding,22,0.0016869861045963749,4,10,Double-scroll
General Encoding,23,0.004763107262311184,4,10,Double-scroll
General Encoding,24,0.014755304130105621,4,10,Double-scroll
General Encoding,0,0.00385237930349253,6,21,Double-scroll
General Encoding,1,0.0007798173086168573,6,21,Double-scroll
General Encoding,2,0.0005102875026587394,6,21,Double-scroll
General Encoding,3,0.0006190280491340011,6,21,Double-scroll
General Encoding,4,0.0008812596446962854,6,21,Double-scroll
General Encoding,5,0.0009735235436115702,6,21,Double-scroll
General Encoding,6,0.0006790586235077604,6,21,Double-scroll
General Encoding,7,0.0015997619647743595,6,21,Double-scroll
General Encoding,8,0.001693705452476112,6,21,Double-scroll
General Encoding,9,0.0035507104795391166,6,21,Double-scroll
General Encoding,10,0.0009832212766495419,6,21,Double-scroll
General Encoding,11,0.0028058037537790565,6,21,Double-scroll
General Encoding,12,0.0012629523507477324,6,21,Double-scroll
General Encoding,13,0.009376139525672535,6,21,Double-scroll
General Encoding,14,0.002361427397662355,6,21,Double-scroll
General Encoding,15,0.0015402743912379013,6,21,Double-scroll
General Encoding,16,0.0014155664929639648,6,21,Double-scroll
General Encoding,17,0.0030478234520533837,6,21,Double-scroll
General Encoding,18,0.0011268443678181654,6,21,Double-scroll
General Encoding,19,0.0007473542151952372,6,21,Double-scroll
General Encoding,20,0.0006258575206823125,6,21,Double-scroll
General Encoding,21,0.0009312149150957781,6,21,Double-scroll
General Encoding,22,0.00037626685955612375,6,21,Double-scroll
General Encoding,23,0.00043977623170288763,6,21,Double-scroll
General Encoding,24,0.0012207541216705247,6,21,Double-scroll
General Encoding,0,0.0012501292363474178,8,36,Double-scroll
General Encoding,1,0.00032116697305579426,8,36,Double-scroll
General Encoding,2,0.0003559347147159577,8,36,Double-scroll
General Encoding,3,0.0001949180872279658,8,36,Double-scroll
General Encoding,4,0.00035898068693009783,8,36,Double-scroll
General Encoding,5,0.000423418874017235,8,36,Double-scroll
General Encoding,6,0.00021302654676791114,8,36,Double-scroll
General Encoding,7,0.0003962377517699343,8,36,Double-scroll
General Encoding,8,0.00041288095077801547,8,36,Double-scroll
General Encoding,9,9.405144926910475e-05,8,36,Double-scroll
General Encoding,10,0.0003125528063326911,8,36,Double-scroll
General Encoding,11,0.0004465782711282708,8,36,Double-scroll
General Encoding,12,0.0004872343128894961,8,36,Double-scroll
General Encoding,13,0.00022750315975253365,8,36,Double-scroll
General Encoding,14,0.0005728918141097815,8,36,Double-scroll
General Encoding,15,0.0002936419126386939,8,36,Double-scroll
General Encoding,16,0.00034090377482385545,8,36,Double-scroll
General Encoding,17,0.000680285177849888,8,36,Double-scroll
General Encoding,18,0.00025476789283582245,8,36,Double-scroll
General Encoding,19,0.000168892886012507,8,36,Double-scroll
General Encoding,20,0.00010992403014245991,8,36,Double-scroll
General Encoding,21,0.00020962852723475613,8,36,Double-scroll
General Encoding,22,4.290414208349588e-05,8,36,Double-scroll
General Encoding,23,7.487051535111109e-05,8,36,Double-scroll
General Encoding,24,0.0004238840133678582,8,36,Double-scroll
General Encoding,0,0.00033890475184598435,10,55,Double-scroll
General Encoding,1,6.799356394320015e-05,10,55,Double-scroll
General Encoding,2,0.0001122293140186384,10,55,Double-scroll
