label,trial,nmse,num_modes,dimension,dataset
General Encoding,0,0.01834315155523646,4,10,Lorenz
General Encoding,1,0.047620869744060046,4,10,Lorenz
General Encoding,2,0.0028461326016248224,4,10,Lorenz
General Encoding,3,0.016789666785349846,4,10,Lorenz
General Encoding,4,0.02168328581699073,4,10,Lorenz
General Encoding,5,0.0932757755648089,4,10,Lorenz
General Encoding,6,0.017582754515725316,4,10,Lorenz
General Encoding,7,0.07293296194312929,4,10,Lorenz
General Encoding,8,0.04375802657709588,4,10,Lorenz
General Encoding,9,0.13340109669149222,4,10,Lorenz
General Encoding,10,0.24538401249150524,4,10,Lorenz
General Encoding,11,0.17700026778236128,4,10,Lorenz
General Encoding,12,0.055902554895279406,4,10,Lorenz
General Encoding,13,0.36451098719171354,4,10,Lorenz
General Encoding,14,0.08101577842766376,4,10,Lorenz
General Encoding,15,0.1139696078191867,4,10,Lorenz
General Encoding,16,0.011980123739673098,4,10,Lorenz
General Encoding,17,0.12748191704157738,4,10,Lorenz
General Encoding,18,0.0824705663304062,4,10,Lorenz
General Encoding,19,0.02985233622544685,4,10,Lorenz
General Encoding,20,0.0018888965799012517,4,10,Lorenz
General Encoding,21,0.17122064859276087,4,10,Lorenz
General Encoding,22,0.0010545209909599517,4,10,Lorenz
General Encoding,23,0.041420654968715394,4,10,Lorenz
General Encoding,24,0.07143027332294258,4,10,Lorenz
General Encoding,0,0.0004859324995513664,6,21,Lorenz
General Encoding,1,0.0010190805252296032,6,21,Lorenz
General Encoding,2,1.3693154621217947e-05,6,21,Lorenz
General Encoding,3,0.00047756252670644317,6,21,Lorenz
General Encoding,4,0.0005170679037615368,6,21,Lorenz
General Encoding,5,0.0013534696210347485,6,21,Lorenz
General Encoding,6,4.355715008864658e-05,6,21,Lorenz
General Encoding,7,0.00985248713837841,6,21,Lorenz
General Encoding,8,0.0003038983485812112,6,21,Lorenz
General Encoding,9,0.002047008285464379,6,21,Lorenz
General Encoding,10,0.003015788000812174,6,21,Lorenz
General Encoding,11,0.00431495385181868,6,21,Lorenz
General Encoding,12,0.001034561694061608,6,21,Lorenz
General Encoding,13,0.06236455676243899,6,21,Lorenz
General Encoding,14,0.0007487582322848877,6,21,Lorenz
General Encoding,15,0.0012206910441528208,6,21,Lorenz
General Encoding,16,0.000638907823099381,6,21,Lorenz
General Encoding,17,0.002911746788284117,6,21,Lorenz
General Encoding,18,0.00023270836832331234,6,21,Lorenz
General Encoding,19,0.0004536430259072683,6,21,Lorenz
General Encoding,20,1.1391775114530679e-05,6,21,Lorenz
General Encoding,21,0.00040145156648930245,6,21,Lorenz
General Encoding,22,4.182019464579803e-06,6,21,Lorenz
General Encoding,23,0.00019824297787470193,6,21,Lorenz
General Encoding,24,0.0004121730403543714,6,21,Lorenz
General Encoding,0,8.21407841869513e-06,8,36,Lorenz
General Encoding,1,2.336644410796907e-05,8,36,Lorenz
General Encoding,2,2.103988538788073e-06,8,36,Lorenz
General Encoding,3,1.2285601565598611e-05,8,36,Lorenz
General Encoding,4,1.358082404764861e-05,8,36,Lorenz
General Encoding,5,5.428148035390252e-05,8,36,Lorenz
General Encoding,6,2.3649668951839054e-06,8,36,Lorenz
General Encoding,7,5.3160680799200215e-06,8,36,Lorenz
General Encoding,8,5.590223054537328e-06,8,36,Lorenz
General Encoding,9,0.00010930703202819104,8,36,Lorenz
General Encoding,10,0.00011623145577012328,8,36,Lorenz
General Encoding,11,4.8920111584536884e-05,8,36,Lorenz
General Encoding,12,6.339729156247312e-06,8,36,Lorenz
General Encoding,13,5.6081800809612945e-05,8,36,Lorenz
General Encoding,14,3.760313057349463e-05,8,36,Lorenz
General Encoding,15,1.1103854693241972e-05,8,36,Lorenz
General Encoding,16,1.9785196599639977e-06,8,36,Lorenz
General Encoding,17,8.283272724513859e-05,8,36,Lorenz
General Encoding,18,9.271409877795919e-06,8,36,Lorenz
General Encoding,19,6.511715730335102e-06,8,36,Lorenz
General Encoding,20,2.3168712725541757e-06,8,36,Lorenz
General Encoding,21,1.6229273514885572e-05,8,36,Lorenz
